Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,W,PLAN,211,,1,City-Making: A Global Perspective,Kunitomo Kamizaki,75,72.3,75.0,66.0,82.0,92.0,16.0,4.0,3.0,1.0,2.0,10.0,7.0,12.0,11.0,11.0,10.0,3.0
UBCV,2023,W,PLAN,221,,1,City Visuals,Erick Villagomez,76,78.3,79.0,76.0,82.0,91.0,23.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,28.0,24.0,7.0,2.0
UBCV,2023,W,PLAN,231,,1,Methods of Community Engagement,Andrew Binet,32,90.3,90.5,88.0,94.0,98.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,18.0
UBCV,2023,W,PLAN,321,,1,Indigeneity and the City,Jessica Barudin,58,82.4,85.0,81.0,90.0,95.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,5.0,15.0,13.0,17.0
UBCV,2023,W,PLAN,331,,2,The Just City in a Divided World,Maged Senbel,66,83.3,84.0,81.0,88.0,96.0,60.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,27.0,19.0,9.0
UBCV,2023,W,PLAN,341,,1,"Smart Cities: Concepts, Methods and Design",Madison Lore,92,90.5,91.0,88.8,93.0,98.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,64.0
UBCV,2023,W,PLAN,351,,1,Green Cities,James John Timothy Connolly,54,82.9,86.0,82.3,89.0,93.0,15.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,6.0,26.0,9.0
UBCV,2023,W,PLAN,425,,2,Urban Planning Issues and Concepts,Mark Stevens,69,84.9,87.0,79.0,90.0,95.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10.0,17.0,24.0
UBCV,2023,W,PLAN,500,,1,Comparative Perspectives on Planning History and Futures,Michael Hooper,46,89.7,90.0,87.0,93.0,96.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,26.0
UBCV,2023,W,PLAN,501,,1,Reconciliation and Planning,Margaret Low,37,87.5,88.0,85.0,90.0,95.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,11.0
UBCV,2023,W,PLAN,502,,1,Sustainability and Resilience in Planning,Holly Caggiano,43,89.4,92.0,88.5,95.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,29.0
UBCV,2023,W,PLAN,504,,1,Urban Design and Visual Representation,Erick Villagomez,43,84.4,86.0,84.0,89.0,91.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,6.0
UBCV,2023,W,PLAN,505,,1,"Planning Theory, Values, and Ethics",Michael Hooper,47,89.9,89.0,87.0,92.5,95.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0
UBCV,2023,W,PLAN,505,,2,"Planning Theory, Values, and Ethics",Kunitomo Kamizaki,39,86.0,86.0,85.0,87.0,91.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,29.0,3.0
UBCV,2023,W,PLAN,506,,1,Information and Analysis in Planning,Stephanie Chang,42,86.7,87.0,85.0,89.0,91.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,30.0,4.0
UBCV,2023,W,PLAN,507,,1,Engagement and Facilitation for Planners,Aaron Lao,29,86.5,87.0,85.0,88.0,92.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,3.0
